0 0 1 1
500 7.91478 1 11.4657
1000 9.92225 1 14.2637
1500 10.746 1 15.3351
2000 11.466 1 16.0285
2500 12.0769 1 16.5342
3000 12.6264 1 16.9357
3500 13.119 1 17.2591
4000 13.5979 1 17.5322
4500 14.034 1 17.783
5000 14.4371 1 18.0343
5500 14.9194 1 18.203
6000 15.434 1 18.4052
6500 15.9369 1 18.5894
7000 16.475 1 18.7337
7500 16.9934 1 18.8962
8000 17.4538 1 19.0093
8500 17.9296 1 19.1506
9000 18.3834 1 19.2617
9500 18.8611 1 19.3522
10000 19.3453 1 19.4597
10500 19.8202 1 19.5828
11000 20.2652 1 19.656
11500 20.7195 1 19.7567
12000 21.278 1 19.8339
12500 21.7236 1 19.9002
13000 22.1727 1 20.0054
13500 22.6869 1 20.0722
14000 23.149 1 20.1429
14500 23.6772 1 20.2181
15000 24.1637 1 20.2744
15500 24.7659 1 20.3422
16000 25.2005 1 20.4013
16500 25.6848 1 20.4608
17000 26.1174 1 20.5252
17500 26.6061 1 20.5936
18000 27.1019 1 20.6409
18500 27.5764 1 20.7222
19000 28.0538 1 20.7571
19500 28.5336 1 20.8004
20000 29.0131 1 20.874
20500 29.5396 1 20.9135
21000 30.0338 1 20.9592
21500 30.4979 1 21.0077
22000 30.9406 1 21.0472
22500 31.4968 1 21.1152
23000 31.9772 1 21.1633
23500 32.4775 1 21.1902
24000 33.0137 1 21.2502
24500 33.5575 1 21.2767
25000 34.0672 1 21.3166
25500 34.511 1 21.3582
26000 35.1307 1 21.3709
26500 35.5555 1 21.4193
27000 36.0219 1 21.4538
27500 36.5788 1 21.501
28000 37.0338 1 21.5533
28500 37.5166 1 21.5857
29000 38.0352 1 21.6249
29500 38.628 1 21.659
30000 39.1349 1 21.6831
30500 39.6266 1 21.7248
31000 40.1651 1 21.7544
31500 40.6279 1 21.7978
